"country_code","name","year","age","popF"
598,"Papua New Guinea",2020,9,107.127
598,"Papua New Guinea",2020,10,105.481
598,"Papua New Guinea",2020,11,103.225
598,"Papua New Guinea",2020,12,101.693
598,"Papua New Guinea",2020,13,99.983
598,"Papua New Guinea",2020,14,98.57
598,"Papua New Guinea",2021,9,108.525
598,"Papua New Guinea",2021,10,107.186
598,"Papua New Guinea",2021,11,105.57
598,"Papua New Guinea",2021,12,103.341
598,"Papua New Guinea",2021,13,101.839
598,"Papua New Guinea",2021,14,100.151
598,"Papua New Guinea",2022,9,109.945
598,"Papua New Guinea",2022,10,108.453
598,"Papua New Guinea",2022,11,107.116
598,"Papua New Guinea",2022,12,105.497
598,"Papua New Guinea",2022,13,103.265
598,"Papua New Guinea",2022,14,101.752
598,"Papua New Guinea",2023,9,111.311
598,"Papua New Guinea",2023,10,109.873
598,"Papua New Guinea",2023,11,108.383
598,"Papua New Guinea",2023,12,107.043
598,"Papua New Guinea",2023,13,105.42
598,"Papua New Guinea",2023,14,103.178
