"country_code","name","year","age","popF","popF_low","popF_high"
598,"Papua New Guinea","2025",9,113.378,113.378,113.378
598,"Papua New Guinea","2025",10,112.282,112.282,112.282
598,"Papua New Guinea","2025",11,111.164,111.164,111.164
598,"Papua New Guinea","2025",12,109.727,109.727,109.727
598,"Papua New Guinea","2025",13,108.231,108.231,108.231
598,"Papua New Guinea","2025",14,106.879,106.879,106.879
598,"Papua New Guinea","2026",9,114.321,114.321,114.321
598,"Papua New Guinea","2026",10,113.305,113.305,113.305
598,"Papua New Guinea","2026",11,112.211,112.211,112.211
598,"Papua New Guinea","2026",12,111.091,111.091,111.091
598,"Papua New Guinea","2026",13,109.65,109.65,109.65
598,"Papua New Guinea","2026",14,108.146,108.146,108.146
598,"Papua New Guinea","2027",9,115.673,115.673,115.673
598,"Papua New Guinea","2027",10,114.246,114.246,114.246
598,"Papua New Guinea","2027",11,113.232,113.232,113.232
598,"Papua New Guinea","2027",12,112.137,112.137,112.137
598,"Papua New Guinea","2027",13,111.013,111.013,111.013
598,"Papua New Guinea","2027",14,109.564,109.564,109.564
598,"Papua New Guinea","2028",9,116.715,116.715,116.715
598,"Papua New Guinea","2028",10,115.595,115.595,115.595
598,"Papua New Guinea","2028",11,114.171,114.171,114.171
598,"Papua New Guinea","2028",12,113.156,113.156,113.156
598,"Papua New Guinea","2028",13,112.057,112.057,112.057
598,"Papua New Guinea","2028",14,110.925,110.925,110.925
598,"Papua New Guinea","2029",9,117.734,117.734,117.734
598,"Papua New Guinea","2029",10,116.638,116.638,116.638
598,"Papua New Guinea","2029",11,115.521,115.521,115.521
598,"Papua New Guinea","2029",12,114.096,114.096,114.096
598,"Papua New Guinea","2029",13,113.077,113.077,113.077
598,"Papua New Guinea","2029",14,111.97,111.97,111.97
598,"Papua New Guinea","2030",9,118.366,118.366,118.366
598,"Papua New Guinea","2030",10,117.661,117.661,117.661
598,"Papua New Guinea","2030",11,116.567,116.567,116.567
598,"Papua New Guinea","2030",12,115.449,115.449,115.449
598,"Papua New Guinea","2030",13,114.02,114.02,114.02
598,"Papua New Guinea","2030",14,112.993,112.993,112.993
598,"Papua New Guinea","2031",9,118.402,118.402,118.402
598,"Papua New Guinea","2031",10,118.288,118.288,118.288
598,"Papua New Guinea","2031",11,117.585,117.585,117.585
598,"Papua New Guinea","2031",12,116.491,116.491,116.491
598,"Papua New Guinea","2031",13,115.369,115.369,115.369
598,"Papua New Guinea","2031",14,113.934,113.934,113.934
598,"Papua New Guinea","2032",9,118.015,118.015,118.015
598,"Papua New Guinea","2032",10,118.325,118.325,118.325
598,"Papua New Guinea","2032",11,118.213,118.213,118.213
598,"Papua New Guinea","2032",12,117.509,117.509,117.509
598,"Papua New Guinea","2032",13,116.411,116.411,116.411
598,"Papua New Guinea","2032",14,115.282,115.282,115.282
598,"Papua New Guinea","2033",9,118.817,109.135,128.499
598,"Papua New Guinea","2033",10,117.937,117.937,117.937
598,"Papua New Guinea","2033",11,118.249,118.249,118.249
598,"Papua New Guinea","2033",12,118.136,118.136,118.136
598,"Papua New Guinea","2033",13,117.428,117.428,117.428
598,"Papua New Guinea","2033",14,116.324,116.324,116.324
598,"Papua New Guinea","2034",9,118.924,109.089,128.759
598,"Papua New Guinea","2034",10,118.746,109.069,128.423
598,"Papua New Guinea","2034",11,117.867,117.867,117.867
598,"Papua New Guinea","2034",12,118.178,118.178,118.178
598,"Papua New Guinea","2034",13,118.06,118.06,118.06
598,"Papua New Guinea","2034",14,117.346,117.346,117.346
598,"Papua New Guinea","2035",9,119.23,109.242,129.219
598,"Papua New Guinea","2035",10,118.85,109.02,128.68
598,"Papua New Guinea","2035",11,118.673,109.001,128.346
598,"Papua New Guinea","2035",12,117.795,117.795,117.795
598,"Papua New Guinea","2035",13,118.101,118.101,118.101
598,"Papua New Guinea","2035",14,117.976,117.976,117.976
598,"Papua New Guinea","2036",9,119.549,109.407,129.694
598,"Papua New Guinea","2036",10,119.164,109.181,129.148
598,"Papua New Guinea","2036",11,118.785,108.96,128.611
598,"Papua New Guinea","2036",12,118.607,108.94,128.275
598,"Papua New Guinea","2036",13,117.725,117.725,117.725
598,"Papua New Guinea","2036",14,118.024,118.024,118.024
598,"Papua New Guinea","2037",9,119.928,109.632,130.227
598,"Papua New Guinea","2037",10,119.484,109.346,129.624
598,"Papua New Guinea","2037",11,119.1,109.121,129.079
598,"Papua New Guinea","2037",12,118.72,108.9,128.541
598,"Papua New Guinea","2037",13,118.538,108.876,128.2
598,"Papua New Guinea","2037",14,117.648,117.648,117.648
598,"Papua New Guinea","2038",9,120.115,103.398,136.764
598,"Papua New Guinea","2038",10,119.863,109.572,130.158
598,"Papua New Guinea","2038",11,119.421,109.288,129.556
598,"Papua New Guinea","2038",12,119.036,109.062,129.01
598,"Papua New Guinea","2038",13,118.652,108.836,128.467
598,"Papua New Guinea","2038",14,118.463,108.806,128.119
598,"Papua New Guinea","2039",9,120.393,103.429,137.316
