Prov_Name,age,sex,total,lower,upper
CENTRAL,< 1,m,7145.54347,6166.26859,8340.346
CENTRAL,< 1,f,6351.94975,5481.43446,7414.05589
CENTRAL,1 to 4,m,14777.48309,12752.27423,17248.4182
CENTRAL,1 to 4,f,13427.09377,11586.95164,15672.231
CENTRAL,5 to 9,m,26210.99263,22618.85627,30593.71881
CENTRAL,5 to 9,f,23951.81051,20669.28814,27956.78004
CENTRAL,10 to 14,m,25078.2016,21641.31078,29271.51438
CENTRAL,10 to 14,f,21452.63028,18512.61292,25039.71321
CENTRAL,15 to 19,m,22588.62129,19492.91984,26365.65268
CENTRAL,15 to 19,f,19715.04403,17013.15755,23011.58608
CENTRAL,20 to 24,m,17305.46309,14933.80231,20199.10039
CENTRAL,20 to 24,f,15526.27717,13398.44837,18122.41773
CENTRAL,25 to 29,m,15798.27501,13633.16975,18439.8962
CENTRAL,25 to 29,f,14230.28742,12280.07006,16609.72623
CENTRAL,30 to 34,m,12735.89924,10990.48321,14865.4622
CENTRAL,30 to 34,f,11289.51068,9742.31778,13177.22378
CENTRAL,35 to 39,m,11462.30932,9891.43489,13378.91598
CENTRAL,35 to 39,f,10521.51676,9079.57507,12280.814
CENTRAL,40 to 44,m,9113.5279,7864.54678,10637.39606
CENTRAL,40 to 44,f,7875.1377,6795.87416,9191.93529
CENTRAL,45 to 49,m,8297.53436,7160.38265,9684.96067
CENTRAL,45 to 49,f,7292.7423,6293.29428,8512.15788
CENTRAL,50 to 54,m,6287.95025,5426.2059,7339.35508
CENTRAL,50 to 54,f,5628.75547,4857.35175,6569.93668
CENTRAL,55 to 59,m,4739.16251,4089.67478,5531.59536
CENTRAL,55 to 59,f,4201.56676,3625.75489,4904.10851
CENTRAL,60 to 64,m,3891.16922,3357.89638,4541.80956
CENTRAL,60 to 64,f,3471.97253,2996.14932,4052.51922
CENTRAL,65 to 69,m,2508.78015,2164.95951,2928.27195
CENTRAL,65 to 69,f,2412.78091,2082.11667,2816.22073
CENTRAL,70 to 74,m,1603.18732,1383.4754,1871.25542
CENTRAL,70 to 74,f,1497.58815,1292.34828,1747.99907
CENTRAL,75 to 79,m,1011.192,872.61123,1180.27288
CENTRAL,75 to 79,f,991.99215,856.04266,1157.86263
CENTRAL,80 +,m,1119.99114,966.49978,1307.26426
CENTRAL,80 +,f,1254.39008,1082.47975,1464.13598
CENTRAL BOUGAINVILLE,< 1,m,4317.77287,3273.66513,5459.14218
CENTRAL BOUGAINVILLE,< 1,f,4108.17225,3114.74935,5194.13528
CENTRAL BOUGAINVILLE,1 to 4,m,9036.40694,6851.25669,11425.11007
CENTRAL BOUGAINVILLE,1 to 4,f,8357.82492,6336.76685,10567.15022
CENTRAL BOUGAINVILLE,5 to 9,m,14810.90416,11229.38652,18726.05022
CENTRAL BOUGAINVILLE,5 to 9,f,13354.17981,10124.92182,16884.25225
CENTRAL BOUGAINVILLE,10 to 14,m,13907.00146,10544.0622,17583.20795
CENTRAL BOUGAINVILLE,10 to 14,f,12293.07665,9320.41067,15542.65481
CENTRAL BOUGAINVILLE,15 to 19,m,12730.61795,9652.14737,16095.85672
CENTRAL BOUGAINVILLE,15 to 19,f,11417.99404,8656.93728,14436.25099
CENTRAL BOUGAINVILLE,20 to 24,m,10411.91104,7894.14152,13164.21786
