"Prov_Name","age_single","total"
"CENTRAL",9,4790.362102
"CENTRAL",10,4290.526056
"CENTRAL",11,4290.526056
"CENTRAL",12,4290.526056
"CENTRAL",13,4290.526056
"CENTRAL",14,4290.526056
"CENTRAL BOUGAINVILLE",9,2670.835962
"CENTRAL BOUGAINVILLE",10,2458.61533
"CENTRAL BOUGAINVILLE",11,2458.61533
"CENTRAL BOUGAINVILLE",12,2458.61533
"CENTRAL BOUGAINVILLE",13,2458.61533
"CENTRAL BOUGAINVILLE",14,2458.61533
"CHIMBU (SIMBU)",9,6605.489266
"CHIMBU (SIMBU)",10,5958.06596
"CHIMBU (SIMBU)",11,5958.06596
"CHIMBU (SIMBU)",12,5958.06596
"CHIMBU (SIMBU)",13,5958.06596
"CHIMBU (SIMBU)",14,5958.06596
"EAST NEW BRITAIN",9,5823.675834
"EAST NEW BRITAIN",10,5057.588412
"EAST NEW BRITAIN",11,5057.588412
"EAST NEW BRITAIN",12,5057.588412
"EAST NEW BRITAIN",13,5057.588412
"EAST NEW BRITAIN",14,5057.588412
"EAST SEPIK",9,8164.78048
"EAST SEPIK",10,7819.079372
"EAST SEPIK",11,7819.079372
"EAST SEPIK",12,7819.079372
"EAST SEPIK",13,7819.079372
"EAST SEPIK",14,7819.079372
"EASTERN HIGHLANDS",9,9163.881462
"EASTERN HIGHLANDS",10,7835.44361
"EASTERN HIGHLANDS",11,7835.44361
"EASTERN HIGHLANDS",12,7835.44361
"EASTERN HIGHLANDS",13,7835.44361
"EASTERN HIGHLANDS",14,7835.44361
"ENGA",9,6387.716298
"ENGA",10,6079.796854
"ENGA",11,6079.796854
"ENGA",12,6079.796854
"ENGA",13,6079.796854
"ENGA",14,6079.796854
"GULF",9,2738.87967
"GULF",10,2320.0393
"GULF",11,2320.0393
"GULF",12,2320.0393
"GULF",13,2320.0393
"GULF",14,2320.0393
"HELA",9,10316.3023
"HELA",10,8617.513596
"HELA",11,8617.513596
"HELA",12,8617.513596
"HELA",13,8617.513596
"HELA",14,8617.513596
"JIWAKA",9,5589.868442
"JIWAKA",10,5119.676098
"JIWAKA",11,5119.676098
"JIWAKA",12,5119.676098
"JIWAKA",13,5119.676098
"JIWAKA",14,5119.676098
"MADANG",9,9964.95087
"MADANG",10,9381.99397
"MADANG",11,9381.99397
"MADANG",12,9381.99397
"MADANG",13,9381.99397
"MADANG",14,9381.99397
"MANUS",9,913.707208
"MANUS",10,851.984194
"MANUS",11,851.984194
"MANUS",12,851.984194
"MANUS",13,851.984194
"MANUS",14,851.984194
"MILNE BAY",9,9681.614744
"MILNE BAY",10,8851.507188
"MILNE BAY",11,8851.507188
"MILNE BAY",12,8851.507188
"MILNE BAY",13,8851.507188
"MILNE BAY",14,8851.507188
"MOROBE",9,13722.784662
"MOROBE",10,12150.2484
"MOROBE",11,12150.2484
"MOROBE",12,12150.2484
"MOROBE",13,12150.2484
"MOROBE",14,12150.2484
"NATIONAL CAPITAL DISTRICT",9,5238.544052
"NATIONAL CAPITAL DISTRICT",10,4495.008766
"NATIONAL CAPITAL DISTRICT",11,4495.008766
"NATIONAL CAPITAL DISTRICT",12,4495.008766
"NATIONAL CAPITAL DISTRICT",13,4495.008766
"NATIONAL CAPITAL DISTRICT",14,4495.008766
"NEW IRELAND",9,3016.967292
"NEW IRELAND",10,2767.962572
"NEW IRELAND",11,2767.962572
"NEW IRELAND",12,2767.962572
"NEW IRELAND",13,2767.962572
"NEW IRELAND",14,2767.962572
"NORTH BOUGAINVILLE",9,2772.742296
"NORTH BOUGAINVILLE",10,2485.048384
"NORTH BOUGAINVILLE",11,2485.048384
"NORTH BOUGAINVILLE",12,2485.048384
"NORTH BOUGAINVILLE",13,2485.048384
"NORTH BOUGAINVILLE",14,2485.048384
"NORTHERN (ORO)",9,3622.847966
"NORTHERN (ORO)",10,3400.817872
"NORTHERN (ORO)",11,3400.817872
"NORTHERN (ORO)",12,3400.817872
"NORTHERN (ORO)",13,3400.817872
"NORTHERN (ORO)",14,3400.817872
"SOUTH BOUGAINVILLE",9,2609.662014
"SOUTH BOUGAINVILLE",10,2359.43797
"SOUTH BOUGAINVILLE",11,2359.43797
"SOUTH BOUGAINVILLE",12,2359.43797
"SOUTH BOUGAINVILLE",13,2359.43797
"SOUTH BOUGAINVILLE",14,2359.43797
"SOUTHERN HIGHLANDS",9,12327.802912
"SOUTHERN HIGHLANDS",10,10468.596298
"SOUTHERN HIGHLANDS",11,10468.596298
"SOUTHERN HIGHLANDS",12,10468.596298
"SOUTHERN HIGHLANDS",13,10468.596298
"SOUTHERN HIGHLANDS",14,10468.596298
"WEST NEW BRITAIN",9,4638.511304
"WEST NEW BRITAIN",10,4219.699838
"WEST NEW BRITAIN",11,4219.699838
"WEST NEW BRITAIN",12,4219.699838
"WEST NEW BRITAIN",13,4219.699838
"WEST NEW BRITAIN",14,4219.699838
"WEST SEPIK",9,5376.637184
"WEST SEPIK",10,4857.297062
"WEST SEPIK",11,4857.297062
"WEST SEPIK",12,4857.297062
"WEST SEPIK",13,4857.297062
"WEST SEPIK",14,4857.297062
"WESTERN",9,4106.446124
"WESTERN",10,3756.013076
"WESTERN",11,3756.013076
"WESTERN",12,3756.013076
"WESTERN",13,3756.013076
"WESTERN",14,3756.013076
"WESTERN HIGHLANDS",9,6258.498924
"WESTERN HIGHLANDS",10,5789.33455
"WESTERN HIGHLANDS",11,5789.33455
"WESTERN HIGHLANDS",12,5789.33455
"WESTERN HIGHLANDS",13,5789.33455
"WESTERN HIGHLANDS",14,5789.33455
