"Prov_Name","age_single","total","lower","upper"
"CENTRAL",9,4790.362102,4133.857628,5591.356008
"CENTRAL",10,4290.526056,3702.522584,5007.942642
"CENTRAL",11,4290.526056,3702.522584,5007.942642
"CENTRAL",12,4290.526056,3702.522584,5007.942642
"CENTRAL",13,4290.526056,3702.522584,5007.942642
"CENTRAL",14,4290.526056,3702.522584,5007.942642
"CENTRAL BOUGAINVILLE",9,2670.835962,2024.984364,3376.85045
"CENTRAL BOUGAINVILLE",10,2458.61533,1864.082134,3108.530962
"CENTRAL BOUGAINVILLE",11,2458.61533,1864.082134,3108.530962
"CENTRAL BOUGAINVILLE",12,2458.61533,1864.082134,3108.530962
"CENTRAL BOUGAINVILLE",13,2458.61533,1864.082134,3108.530962
"CENTRAL BOUGAINVILLE",14,2458.61533,1864.082134,3108.530962
"CHIMBU (SIMBU)",9,6605.489266,6261.595248,6960.590944
"CHIMBU (SIMBU)",10,5958.06596,5647.878,6278.363086
"CHIMBU (SIMBU)",11,5958.06596,5647.878,6278.363086
"CHIMBU (SIMBU)",12,5958.06596,5647.878,6278.363086
"CHIMBU (SIMBU)",13,5958.06596,5647.878,6278.363086
"CHIMBU (SIMBU)",14,5958.06596,5647.878,6278.363086
"EAST NEW BRITAIN",9,5823.675834,4862.088332,6905.214886
"EAST NEW BRITAIN",10,5057.588412,4222.494916,5996.854182
"EAST NEW BRITAIN",11,5057.588412,4222.494916,5996.854182
"EAST NEW BRITAIN",12,5057.588412,4222.494916,5996.854182
"EAST NEW BRITAIN",13,5057.588412,4222.494916,5996.854182
"EAST NEW BRITAIN",14,5057.588412,4222.494916,5996.854182
"EAST SEPIK",9,8164.78048,6883.162652,9879.91079
"EAST SEPIK",10,7819.079372,6591.725918,9461.59016
"EAST SEPIK",11,7819.079372,6591.725918,9461.59016
"EAST SEPIK",12,7819.079372,6591.725918,9461.59016
"EAST SEPIK",13,7819.079372,6591.725918,9461.59016
"EAST SEPIK",14,7819.079372,6591.725918,9461.59016
"EASTERN HIGHLANDS",9,9163.881462,8453.21518,9932.109384
"EASTERN HIGHLANDS",10,7835.44361,7227.798738,8492.305724
