"country_code","name","year","age","popF","age_group"
598,"Papua New Guinea",2020,9,107.127,"9-14"
598,"Papua New Guinea",2020,10,105.481,"9-14"
598,"Papua New Guinea",2020,11,103.225,"9-14"
598,"Papua New Guinea",2020,12,101.693,"9-14"
598,"Papua New Guinea",2020,13,99.983,"9-14"
598,"Papua New Guinea",2020,14,98.57,"9-14"
598,"Papua New Guinea",2021,9,108.525,"9-14"
598,"Papua New Guinea",2021,10,107.186,"9-14"
598,"Papua New Guinea",2021,11,105.57,"9-14"
598,"Papua New Guinea",2021,12,103.341,"9-14"
598,"Papua New Guinea",2021,13,101.839,"9-14"
598,"Papua New Guinea",2021,14,100.151,"9-14"
598,"Papua New Guinea",2022,9,109.945,"9-14"
598,"Papua New Guinea",2022,10,108.453,"9-14"
598,"Papua New Guinea",2022,11,107.116,"9-14"
598,"Papua New Guinea",2022,12,105.497,"9-14"
598,"Papua New Guinea",2022,13,103.265,"9-14"
598,"Papua New Guinea",2022,14,101.752,"9-14"
598,"Papua New Guinea",2023,9,111.311,"9-14"
598,"Papua New Guinea",2023,10,109.873,"9-14"
598,"Papua New Guinea",2023,11,108.383,"9-14"
598,"Papua New Guinea",2023,12,107.043,"9-14"
598,"Papua New Guinea",2023,13,105.42,"9-14"
598,"Papua New Guinea",2023,14,103.178,"9-14"
